observed_at,tick_time,symbol,bid,ask,spread_points
2026-08-24T16:00:09.482780+00:00,2026-08-24T19:00:08.988000+00:00,EURUSD,1.16639,1.1663999999999999,1.0
2026-08-24T16:00:10.485304+00:00,2026-08-24T19:00:10.556000+00:00,EURUSD,1.16639,1.1663999999999999,1.0
2026-08-24T16:00:11.487198+00:00,2026-08-24T19:00:11.549000+00:00,EURUSD,1.16639,1.16639,0.0
2026-08-24T16:00:12.490069+00:00,2026-08-24T19:00:12.572000+00:00,EURUSD,1.16637,1.16639,2.0
2026-08-24T16:00:13.493143+00:00,2026-08-24T19:00:12.572000+00:00,EURUSD,1.16637,1.16639,2.0
2026-08-24T16:00:14.497099+00:00,2026-08-24T19:00:12.572000+00:00,EURUSD,1.16637,1.16639,2.0
2026-08-24T16:00:15.500198+00:00,2026-08-24T19:00:12.572000+00:00,EURUSD,1.16637,1.16639,2.0
2026-08-24T16:00:16.521076+00:00,2026-08-24T19:00:16.029000+00:00,EURUSD,1.16638,1.16639,1.0
2026-08-24T16:00:17.533466+00:00,2026-08-24T19:00:17.468000+00:00,EURUSD,1.16637,1.16638,1.0
2026-08-24T16:00:18.537561+00:00,2026-08-24T19:00:18.173000+00:00,EURUSD,1.16639,1.1663999999999999,1.0
2026-08-24T16:00:19.542577+00:00,2026-08-24T19:00:19.037000+00:00,EURUSD,1.1663999999999999,1.16641,1.0
2026-08-24T16:00:20.545408+00:00,2026-08-24T19:00:20.456000+00:00,EURUSD,1.1663999999999999,1.16642,2.0
2026-08-24T16:00:21.547972+00:00,2026-08-24T19:00:21.564000+00:00,EURUSD,1.16643,1.16644,1.0
2026-08-24T16:00:22.550330+00:00,2026-08-24T19:00:22.237000+00:00,EURUSD,1.16647,1.16647,0.0
2026-08-24T16:00:23.553823+00:00,2026-08-24T19:00:22.237000+00:00,EURUSD,1.16647,1.16647,0.0
2026-08-24T16:00:24.557394+00:00,2026-08-24T19:00:23.964000+00:00,EURUSD,1.16647,1.16648,1.0
2026-08-24T16:00:25.560590+00:00,2026-08-24T19:00:24.957000+00:00,EURUSD,1.16646,1.16647,1.0
