observed_at,tick_time,symbol,bid,ask,spread_points
2026-08-31T12:51:09.511103+00:00,2026-08-31T15:51:09.332000+00:00,USDCAD,1.38832,1.38835,3.0
2026-08-31T12:51:10.514991+00:00,2026-08-31T15:51:09.332000+00:00,USDCAD,1.38832,1.38835,3.0
2026-08-31T12:51:11.518134+00:00,2026-08-31T15:51:11.124000+00:00,USDCAD,1.38832,1.38836,4.0
2026-08-31T12:51:12.523172+00:00,2026-08-31T15:51:12.308000+00:00,USDCAD,1.38833,1.38836,3.0
2026-08-31T12:51:13.527381+00:00,2026-08-31T15:51:13.525000+00:00,USDCAD,1.38834,1.38837,3.0
2026-08-31T12:51:14.532698+00:00,2026-08-31T15:51:13.525000+00:00,USDCAD,1.38834,1.38837,3.0
2026-08-31T12:51:15.536847+00:00,2026-08-31T15:51:13.525000+00:00,USDCAD,1.38834,1.38837,3.0
2026-08-31T12:51:16.540264+00:00,2026-08-31T15:51:15.700000+00:00,USDCAD,1.38833,1.38836,3.0
2026-08-31T12:51:17.543422+00:00,2026-08-31T15:51:15.700000+00:00,USDCAD,1.38833,1.38836,3.0
2026-08-31T12:51:18.548980+00:00,2026-08-31T15:51:15.700000+00:00,USDCAD,1.38833,1.38836,3.0
2026-08-31T12:51:19.551954+00:00,2026-08-31T15:51:15.700000+00:00,USDCAD,1.38833,1.38836,3.0
2026-08-31T12:51:20.554894+00:00,2026-08-31T15:51:20.341000+00:00,USDCAD,1.38832,1.38835,3.0
2026-08-31T12:51:21.557210+00:00,2026-08-31T15:51:20.852000+00:00,USDCAD,1.38832,1.38836,4.0
2026-08-31T12:51:22.563301+00:00,2026-08-31T15:51:21.685000+00:00,USDCAD,1.38832,1.38835,3.0
2026-08-31T12:51:23.568142+00:00,2026-08-31T15:51:21.685000+00:00,USDCAD,1.38832,1.38835,3.0
2026-08-31T12:51:24.570932+00:00,2026-08-31T15:51:21.685000+00:00,USDCAD,1.38832,1.38835,3.0
2026-08-31T12:51:25.574686+00:00,2026-08-31T15:51:21.685000+00:00,USDCAD,1.38832,1.38835,3.0
2026-08-31T12:51:26.616616+00:00,2026-08-31T15:51:26.452000+00:00,USDCAD,1.38831,1.38835,4.0
2026-08-31T12:51:27.619894+00:00,2026-08-31T15:51:26.452000+00:00,USDCAD,1.38831,1.38835,4.0
2026-08-31T12:51:28.624390+00:00,2026-08-31T15:51:26.452000+00:00,USDCAD,1.38831,1.38835,4.0
2026-08-31T12:51:29.629542+00:00,2026-08-31T15:51:29.620000+00:00,USDCAD,1.38829,1.38832,3.0
2026-08-31T12:51:30.633105+00:00,2026-08-31T15:51:30.452000+00:00,USDCAD,1.38829,1.38832,3.0
2026-08-31T12:51:31.637808+00:00,2026-08-31T15:51:31.732000+00:00,USDCAD,1.38827,1.3883,3.0
2026-08-31T12:51:32.642091+00:00,2026-08-31T15:51:31.732000+00:00,USDCAD,1.38827,1.3883,3.0
2026-08-31T12:51:33.645811+00:00,2026-08-31T15:51:33.653000+00:00,USDCAD,1.38828,1.38831,3.0
2026-08-31T12:51:34.651267+00:00,2026-08-31T15:51:34.132000+00:00,USDCAD,1.38828,1.38831,3.0
2026-08-31T12:51:35.654864+00:00,2026-08-31T15:51:34.132000+00:00,USDCAD,1.38828,1.38831,3.0
2026-08-31T12:51:36.658290+00:00,2026-08-31T15:51:34.132000+00:00,USDCAD,1.38828,1.38831,3.0
2026-08-31T12:51:37.661352+00:00,2026-08-31T15:51:34.132000+00:00,USDCAD,1.38828,1.38831,3.0
2026-08-31T12:51:38.664391+00:00,2026-08-31T15:51:34.132000+00:00,USDCAD,1.38828,1.38831,3.0
2026-08-31T12:51:39.668307+00:00,2026-08-31T15:51:39.700000+00:00,USDCAD,1.38832,1.38836,4.0
2026-08-31T12:51:40.671893+00:00,2026-08-31T15:51:40.340000+00:00,USDCAD,1.38835,1.38838,3.0
2026-08-31T12:51:41.674669+00:00,2026-08-31T15:51:41.716000+00:00,USDCAD,1.38835,1.38837,2.0
2026-08-31T12:51:42.678647+00:00,2026-08-31T15:51:42.708000+00:00,USDCAD,1.38837,1.38839,2.0
2026-08-31T12:51:43.682276+00:00,2026-08-31T15:51:43.508000+00:00,USDCAD,1.38839,1.38842,3.0
2026-08-31T12:51:44.686180+00:00,2026-08-31T15:51:44.724000+00:00,USDCAD,1.3884,1.3884400000000001,4.0
2026-08-31T12:51:45.690337+00:00,2026-08-31T15:51:45.396000+00:00,USDCAD,1.38841,1.38845,4.0
2026-08-31T12:51:46.693706+00:00,2026-08-31T15:51:45.396000+00:00,USDCAD,1.38841,1.38845,4.0
2026-08-31T12:51:47.697451+00:00,2026-08-31T15:51:45.396000+00:00,USDCAD,1.38841,1.38845,4.0
2026-08-31T12:51:48.717975+00:00,2026-08-31T15:51:45.396000+00:00,USDCAD,1.38841,1.38845,4.0
2026-08-31T12:51:49.720276+00:00,2026-08-31T15:51:49.428000+00:00,USDCAD,1.3884,1.3884400000000001,4.0
2026-08-31T12:51:50.724388+00:00,2026-08-31T15:51:50.196000+00:00,USDCAD,1.38838,1.38842,4.0
2026-08-31T12:51:51.727898+00:00,2026-08-31T15:51:51.316000+00:00,USDCAD,1.3884,1.3884400000000001,4.0
2026-08-31T12:51:52.731733+00:00,2026-08-31T15:51:51.316000+00:00,USDCAD,1.3884,1.3884400000000001,4.0
2026-08-31T12:51:53.736413+00:00,2026-08-31T15:51:53.685000+00:00,USDCAD,1.3884,1.3884400000000001,4.0
2026-08-31T12:51:54.739628+00:00,2026-08-31T15:51:53.685000+00:00,USDCAD,1.3884,1.3884400000000001,4.0
2026-08-31T12:51:55.743388+00:00,2026-08-31T15:51:55.348000+00:00,USDCAD,1.38842,1.38845,3.0
2026-08-31T12:51:56.747579+00:00,2026-08-31T15:51:56.820000+00:00,USDCAD,1.38841,1.38845,4.0
2026-08-31T12:51:57.750791+00:00,2026-08-31T15:51:56.820000+00:00,USDCAD,1.38841,1.38845,4.0
2026-08-31T12:51:58.753873+00:00,2026-08-31T15:51:58.163000+00:00,USDCAD,1.38841,1.3884400000000001,3.0
2026-08-31T12:51:59.757075+00:00,2026-08-31T15:51:58.932000+00:00,USDCAD,1.3884,1.38843,3.0
2026-08-31T12:52:00.760232+00:00,2026-08-31T15:52:00.852000+00:00,USDCAD,1.38841,1.3884400000000001,3.0
2026-08-31T12:52:01.763324+00:00,2026-08-31T15:52:01.780000+00:00,USDCAD,1.38841,1.38845,4.0
2026-08-31T12:52:02.767139+00:00,2026-08-31T15:52:02.517000+00:00,USDCAD,1.38842,1.38845,3.0
2026-08-31T12:52:03.769765+00:00,2026-08-31T15:52:03.765000+00:00,USDCAD,1.38842,1.38846,4.0
