observed_at,tick_time,symbol,bid,ask,spread_points
2026-08-31T12:34:02.770441+00:00,2026-08-31T15:34:01.650000+00:00,USDJPY,159.799,159.802,3.0
2026-08-31T12:34:03.774288+00:00,2026-08-31T15:34:03.859000+00:00,USDJPY,159.799,159.802,3.0
2026-08-31T12:34:04.778904+00:00,2026-08-31T15:34:04.499000+00:00,USDJPY,159.798,159.801,3.0
2026-08-31T12:34:05.782784+00:00,2026-08-31T15:34:05.298000+00:00,USDJPY,159.8,159.803,3.0
2026-08-31T12:34:06.819826+00:00,2026-08-31T15:34:06.675000+00:00,USDJPY,159.8,159.803,3.0
2026-08-31T12:34:07.823441+00:00,2026-08-31T15:34:07.858000+00:00,USDJPY,159.798,159.801,3.0
2026-08-31T12:34:08.826854+00:00,2026-08-31T15:34:08.242000+00:00,USDJPY,159.8,159.802,2.0
2026-08-31T12:34:09.830897+00:00,2026-08-31T15:34:08.242000+00:00,USDJPY,159.8,159.802,2.0
2026-08-31T12:34:10.835346+00:00,2026-08-31T15:34:10.291000+00:00,USDJPY,159.801,159.804,3.0
2026-08-31T12:34:11.839250+00:00,2026-08-31T15:34:11.858000+00:00,USDJPY,159.802,159.805,3.0
2026-08-31T12:34:12.843867+00:00,2026-08-31T15:34:11.858000+00:00,USDJPY,159.802,159.805,3.0
2026-08-31T12:34:13.848060+00:00,2026-08-31T15:34:11.858000+00:00,USDJPY,159.802,159.805,3.0
2026-08-31T12:34:14.852659+00:00,2026-08-31T15:34:11.858000+00:00,USDJPY,159.802,159.805,3.0
2026-08-31T12:34:15.856426+00:00,2026-08-31T15:34:15.762000+00:00,USDJPY,159.803,159.805,2.0
2026-08-31T12:34:16.860988+00:00,2026-08-31T15:34:15.762000+00:00,USDJPY,159.803,159.805,2.0
2026-08-31T12:34:17.864602+00:00,2026-08-31T15:34:15.762000+00:00,USDJPY,159.803,159.805,2.0
2026-08-31T12:34:18.867843+00:00,2026-08-31T15:34:18.770000+00:00,USDJPY,159.803,159.805,2.0
2026-08-31T12:34:19.870468+00:00,2026-08-31T15:34:18.770000+00:00,USDJPY,159.803,159.805,2.0
2026-08-31T12:34:20.876258+00:00,2026-08-31T15:34:20.627000+00:00,USDJPY,159.804,159.806,2.0
